"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"313",20345,"Kealkil","cork westdivision",NA,13,28,0,0,20,56,4,74,2,46,33,7,566,0.009
"314",20591,"Keel","mayodivision",NA,40,31,0,0,16,64,3,1,2,44,62,0,526,0.008
"315",2058,"Kells Ceanannus Mor","meathdivision",NA,650,546,2,24,767,1843,184,316,69,992,1294,179,13732,0.207
"316",2098,"Kenagh","roscommon/longforddivision",NA,43,40,0,2,111,159,8,11,4,96,23,5,1004,0.015
"317",20398,"Kenmare","kerrydivision",NA,167,213,1,1,191,450,48,89,18,232,805,42,4514,0.068
"318",20638,"Kerrykeel","donegaldivision",NA,83,84,0,0,84,135,13,9,11,206,165,10,1600,0.024
"319",2036,"Kevin Street","d.m.r. south centraldivision",NA,2087,1357,19,1265,4626,13716,851,4151,831,6197,8053,736,87778,1.321
"320",2093,"Kilbeggan","westmeathdivision",NA,105,108,0,10,346,575,29,21,5,194,113,14,3040,0.046
"321",20341,"Kilbrittain","cork westdivision",NA,15,20,0,0,31,94,11,26,8,40,37,3,570,0.009
"322",2069,"Kilcock","kildaredivision",NA,295,176,0,42,830,1559,90,111,33,637,434,182,8778,0.132
"323",20523,"Kilconnell","galwaydivision",NA,40,24,0,0,33,63,4,7,1,32,396,4,1208,0.018
"324",20129,"Kilcormac","laois/offalydivision",NA,83,51,0,1,129,222,10,22,11,201,120,13,1726,0.026
"325",20148,"Kilcullen","kildaredivision",NA,242,236,1,32,959,1182,72,160,20,519,393,39,7710,0.116
"326",20146,"Kildare","kildaredivision",NA,578,492,3,67,870,2079,218,377,73,1151,1698,127,15466,0.233
"327",20315,"Kildorrery","cork northdivision",NA,45,62,0,0,115,188,12,46,7,110,72,3,1320,0.02
"328",20460,"Kildysart","claredivision",NA,32,27,0,0,46,75,7,11,0,38,31,8,550,0.008
"329",20461,"Kilkee","claredivision",NA,287,217,0,7,291,479,43,248,35,534,1044,49,6468,0.097
"330",20583,"Kilkelly","mayodivision",NA,60,49,0,1,75,156,6,14,8,76,103,6,1108,0.017
"331",20228,"Kilkenny","kilkenny/carlowdivision",NA,2444,1849,7,119,3221,8942,648,2726,274,3187,10549,820,69572,1.047
"332",20221,"Kill Co Waterford","waterforddivision",NA,63,34,0,1,104,204,5,37,3,121,96,5,1346,0.02
"333",20559,"Killala","mayodivision",NA,70,84,1,0,75,213,15,25,7,153,113,4,1520,0.023
"334",20462,"Killaloe","claredivision",NA,284,342,3,6,452,1113,57,306,52,520,672,154,7922,0.119
"335",20396,"Killarney","kerrydivision",NA,1139,1307,6,40,894,3386,266,1233,147,1349,6394,446,33214,0.5
"336",20330,"Killeagh","cork northdivision",NA,87,161,0,1,177,338,29,76,41,163,200,22,2590,0.039
"337",20246,"Killenaule","tipperarydivision",NA,93,99,0,3,249,386,12,89,22,187,271,21,2864,0.043
"338",20693,"Killeshandra","cavan/monaghandivision",NA,52,43,1,1,71,99,15,10,2,58,61,5,836,0.013
"339",20492,"Killimor","galwaydivision",NA,41,63,1,2,115,130,4,19,3,56,66,6,1012,0.015
"340",20392,"Killorglin","kerrydivision",NA,304,205,3,6,146,345,36,127,41,218,746,66,4486,0.068
"341",2084,"Killucan","westmeathdivision",NA,83,75,1,7,184,309,36,33,9,181,114,30,2124,0.032
"342",20212,"Kilmacow","kilkenny/carlowdivision",NA,37,60,0,2,112,124,7,38,5,57,65,4,1022,0.015
"343",20640,"Kilmacrennan","donegaldivision",NA,153,166,1,3,71,203,11,24,15,141,184,12,1968,0.03
"344",20222,"Kilmacthomas","waterforddivision",NA,91,85,1,3,180,274,7,69,24,186,218,13,2302,0.035
"345",20573,"Kilmaine","mayodivision",NA,20,36,0,0,34,59,6,2,0,35,45,1,476,0.007
"346",204,"Kilmainham","d.m.r. south centraldivision",NA,1778,1359,22,804,3558,10493,536,1933,623,6387,6233,2775,73002,1.099
"347",20436,"Kilmallock","limerickdivision",NA,341,138,1,3,342,621,78,112,41,413,791,110,5982,0.09
"348",20223,"Kilmeaden","waterforddivision",NA,24,93,0,7,164,235,14,54,12,81,63,7,1508,0.023
"349",20240,"Kilmoganny","kilkenny/carlowdivision",NA,20,16,0,1,95,78,1,10,6,56,16,7,612,0.009
"350",20176,"Kilmore Quay","wexforddivision",NA,131,111,1,2,310,404,11,106,14,291,87,34,3004,0.045
"351",20680,"Kilnaleck","cavan/monaghandivision",NA,145,200,1,3,234,359,24,23,6,153,134,24,2612,0.039
"352",20497,"Kilrickle","galwaydivision",NA,25,66,0,0,67,163,17,8,2,62,65,4,958,0.014
"353",20455,"Kilrush","claredivision",NA,406,219,4,17,352,770,68,291,119,997,1021,182,8892,0.134
"354",20252,"Kilsheelan","tipperarydivision",NA,28,35,0,0,82,94,5,34,2,32,70,5,774,0.012
"355",20581,"Kiltimagh","mayodivision",NA,114,59,0,1,120,311,22,45,19,268,221,24,2408,0.036
"356",20524,"Kiltormer","galwaydivision",NA,11,25,0,0,38,60,0,1,2,25,29,0,382,0.006
"357",20316,"Kilworth","cork northdivision",NA,28,61,0,0,77,108,11,56,3,73,71,15,1006,0.015
"358",20683,"Kingscourt","cavan/monaghandivision",NA,260,196,1,7,182,398,48,120,14,225,344,42,3674,0.055
"359",20615,"Kinlough","sligo/leitrimdivision",NA,88,51,2,2,94,248,10,39,6,155,140,19,1708,0.026
"360",2085,"Kinnegad","westmeathdivision",NA,204,219,0,22,423,765,53,78,12,452,439,40,5414,0.081
"361",20130,"Kinnitty","laois/offalydivision",NA,25,19,0,2,108,149,3,18,3,61,59,3,900,0.014
"362",20340,"Kinsale","cork westdivision",NA,702,396,4,5,346,1278,92,594,49,1029,1975,87,13114,0.197
"363",20510,"Kinvara","galwaydivision",NA,32,67,0,0,50,120,13,53,5,70,116,5,1062,0.016
"364",20575,"Knock","mayodivision",NA,37,65,0,1,84,209,10,13,5,89,58,4,1150,0.017
"365",20410,"Knocknagoshel","kerrydivision",NA,88,67,3,0,93,98,6,18,7,109,429,35,1906,0.029
